left_system,right_system,day,learners,mae_difference,mae_difference_ci_low,mae_difference_ci_high,rmse_difference,rmse_difference_ci_low,rmse_difference_ci_high
Pure-LLM,LLM-SimpleKT,10,48,0.4336900383854168,0.4222521816406249,0.44597113255208326,0.42089545323889915,0.4084203406177442,0.4329786772444805
Pure-LLM,LLM-SimpleKT,20,48,0.3310640516666667,0.30323548841145836,0.35548449424479184,0.32557343346043516,0.2969401126606374,0.34993573181236853
Pure-LLM,LLM-SimpleKT,all,48,0.3823770450260417,0.3660113736067708,0.39868475764322925,0.37446951373064624,0.35690841867920947,0.3899460510342368
LLM-SimpleKT,gold-SimpleKT,10,48,0.028624385598958333,0.019153215000000005,0.03791797231770833,0.03950611291199491,0.028042028830622855,0.05014920462403057
LLM-SimpleKT,gold-SimpleKT,20,48,0.0006842910937499971,-0.0055210389843750015,0.0065773989322916665,0.005339173196556348,-0.0006795919815040472,0.011536261830526966
LLM-SimpleKT,gold-SimpleKT,all,48,0.014654338346354157,0.008125355195312496,0.021063829218749993,0.022729388155984073,0.015221629645717489,0.03029819538231156
