system,day,learners,predictions,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
Pure-LLM,10,48,384,0.5185070809895832,0.5051109120572917,0.5316882641406252,0.5271244376101273,0.5136653863463553,0.5411219221390783
Pure-LLM,20,48,384,0.41444874330729164,0.39393575942708337,0.4336733665885417,0.42431707748122566,0.4043512586738582,0.4437863398111865
Pure-LLM,all,48,768,0.4664779121484373,0.4506295463932291,0.48054157121093755,0.47940787970975585,0.4656055427902656,0.4929216226951614
LLM-SimpleKT,10,48,384,0.08481704260416667,0.07831713109374999,0.09138509945312501,0.10622898437122813,0.09780185874319043,0.1144380187214331
LLM-SimpleKT,20,48,384,0.083384691640625,0.07490220770833333,0.09231638453124998,0.0987436440207905,0.09034237925248462,0.10814585362974699
LLM-SimpleKT,all,48,768,0.08410086712239583,0.07923006654947919,0.08928307447916661,0.1049383659791094,0.09902583630446282,0.11081910791663106
gold-SimpleKT,10,48,384,0.056192657005208334,0.05076631645833334,0.06179568421875001,0.06672287145923324,0.06088477945773215,0.0725602828181868
gold-SimpleKT,20,48,384,0.08270040054687501,0.07180757841145835,0.09423319557291666,0.0934044708242341,0.08183067520213338,0.10495639598824995
gold-SimpleKT,all,48,768,0.06944652877604168,0.06217529763020834,0.07743148920572916,0.08220897782312533,0.07410811260834034,0.09103648252949252
