condition,day,learners,predictions,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
original-mini,10,48,384,0.5185070809895832,0.5051109120572917,0.5316882641406252,0.5271244376101273,0.5136653863463553,0.5411219221390783
original-mini,20,48,384,0.41444874330729164,0.39393575942708337,0.4336733665885417,0.42431707748122566,0.4043512586738582,0.4437863398111865
original-mini,all,48,768,0.4664779121484373,0.4506295463932291,0.48054157121093755,0.47940787970975585,0.4656055427902656,0.4929216226951614
improved-mini,10,48,384,0.46053978692708325,0.44044456114583336,0.47942156528645824,0.47527765724260357,0.45600024406382467,0.4935478347587519
improved-mini,20,48,384,0.3799171152864583,0.35929894296875003,0.40013913549479163,0.39060983056342663,0.3714784300169371,0.40973528869853726
improved-mini,all,48,768,0.42022845110677065,0.40214878674479154,0.43805883027343734,0.4359277007705631,0.41937615270601275,0.45274507227770017
improved-full,10,48,384,0.2182807372916666,0.19884435976562498,0.23841818648437496,0.26123536796703173,0.24241386311340796,0.2803852384222579
improved-full,20,48,384,0.2329195144531251,0.21613165184895836,0.2513313718489584,0.26031606021469633,0.24395924385145973,0.2775319558274408
improved-full,all,48,768,0.22560012587239578,0.21053721527343747,0.24088028100260403,0.26303458106829797,0.24713101055837183,0.2775053696330591
