left_system,right_system,day,learners,mae_difference,mae_difference_ci_low,mae_difference_ci_high,rmse_difference,rmse_difference_ci_low,rmse_difference_ci_high
improved-mini,original-mini,10,48,-0.05796729406249999,-0.07238969156249998,-0.04381210645833334,-0.05184678036752354,-0.06477545636786584,-0.03874250259223188
improved-mini,original-mini,20,48,-0.03453162802083332,-0.04442746135416664,-0.024766003020833326,-0.03370724691779904,-0.042763639174183986,-0.024869823970459448
improved-mini,original-mini,all,48,-0.04624946104166669,-0.05605213533854168,-0.03585575510416667,-0.04348017893919259,-0.05253370734750932,-0.034446031046353597
improved-full,original-mini,10,48,-0.30022634369791673,-0.32679718947916664,-0.27287334010416664,-0.2658890696430956,-0.2915068280674663,-0.24062557745436997
improved-full,original-mini,20,48,-0.18152922885416667,-0.20404401989583323,-0.15810235802083336,-0.16400101726652935,-0.18795852578985386,-0.14038859526934136
improved-full,original-mini,all,48,-0.24087778627604176,-0.26493740062500004,-0.21905644507812505,-0.21637329864145774,-0.2377241622955404,-0.19494724884836215
improved-full,improved-mini,10,48,-0.24225904963541667,-0.2716958340625,-0.21191577473958334,-0.214042289275572,-0.24232165733229064,-0.1861566795083068
improved-full,improved-mini,20,48,-0.14699760083333335,-0.17010187750000005,-0.12447881192708336,-0.13029377034873033,-0.15252087611098838,-0.10633227282717363
improved-full,improved-mini,all,48,-0.19462832523437498,-0.21944342307291667,-0.17075331046874997,-0.1728931197022652,-0.19690468939139305,-0.15090425993239986
