system,learner_id,day,predictions,mae,rmse
improved-mini,L096,10,8,0.401227695,0.4112940286892538
improved-mini,L099,10,8,0.5677059325,0.5735072839058962
improved-mini,L102,10,8,0.51594674875,0.5431702112611243
improved-mini,L111,10,8,0.45713180125,0.4744142267161204
improved-mini,L122,10,8,0.45406163250000003,0.462795982940649
improved-mini,L126,10,8,0.4551320475,0.4644570516947551
improved-mini,L128,10,8,0.45383630374999995,0.4823416719611844
improved-mini,L134,10,8,0.30937482749999995,0.37525533597106614
improved-mini,L143,10,8,0.30322864625,0.33833953087150354
improved-mini,L152,10,8,0.56944475625,0.5743575217313273
improved-mini,L154,10,8,0.47937365,0.4992961993065549
improved-mini,L164,10,8,0.406393715,0.4179177806582667
improved-mini,L165,10,8,0.5179241637499999,0.5313714553393147
improved-mini,L171,10,8,0.51736225375,0.5268455490916563
improved-mini,L172,10,8,0.41673454874999993,0.42208550209228796
improved-mini,L185,10,8,0.44817861000000003,0.46427236525098386
improved-mini,L187,10,8,0.42415546375,0.44226393702966404
improved-mini,L193,10,8,0.5317997925000001,0.5650352876760935
improved-mini,L206,10,8,0.48191237375,0.5227852688352442
improved-mini,L208,10,8,0.42260931500000004,0.43165230412694905
improved-mini,L211,10,8,0.47995879374999995,0.49372669922339174
improved-mini,L212,10,8,0.5334688700000001,0.5418767259278209
improved-mini,L235,10,8,0.49795159125,0.510525315618935
improved-mini,L236,10,8,0.43648798624999996,0.44560395781710044
improved-mini,L239,10,8,0.49305107875000004,0.5040304111280112
improved-mini,L002,20,8,0.39163393874999997,0.39882748373463855
improved-mini,L005,20,8,0.34858637,0.36089871502105336
improved-mini,L013,20,8,0.36996869625000006,0.3835625127803157
improved-mini,L019,20,8,0.2567137775,0.2854127170319982
improved-mini,L022,20,8,0.32502304125000003,0.3358385547856105
improved-mini,L025,20,8,0.21230662624999996,0.22530697832453914
improved-mini,L031,20,8,0.4447771025000001,0.4596100942455196
improved-mini,L035,20,8,0.53634994375,0.5414339088130291
improved-mini,L037,20,8,0.32643139624999995,0.3503136406342975
improved-mini,L039,20,8,0.37487885125000003,0.38575372448741446
improved-mini,L054,20,8,0.46140064999999997,0.4708367120479142
improved-mini,L057,20,8,0.41081133375,0.41585573964345285
improved-mini,L066,20,8,0.41718253875,0.4192092274290167
improved-mini,L069,20,8,0.33928635749999997,0.3472312785427212
improved-mini,L070,20,8,0.39918529750000004,0.405011132323549
improved-mini,L076,20,8,0.39525515624999996,0.3999382956379506
improved-mini,L079,20,8,0.3979960975,0.41314118516390513
improved-mini,L082,20,8,0.3011610325,0.3084171497199466
improved-mini,L086,20,8,0.4157776525000001,0.4193624848395626
improved-mini,L089,20,8,0.48561014999999996,0.48773470121079665
improved-mini,L091,20,8,0.42754897625,0.4363539781829811
improved-mini,L094,20,8,0.43361124500000003,0.4431953695187236
improved-mini,L095,20,8,0.46328812500000005,0.46769761956896455
improved-mini,L096,20,8,0.23762101625000004,0.24078067189823363
improved-mini,L099,20,8,0.435219885,0.44411886532743106
